"categoria","juris_ok","juris_abrev","anio","anio_fecha","id","value_proy","share_proy","value_exec","share_exec","rel_exec_proy"
"Ejecutivo","Jefatura de Gabinete de Ministros","Jefatura de Gabinete",2003,"01/01/2003","1",46088071,0.000696478473375271,132950031,0.00242199441861895,2.88469506567111
"Exterior","Ministerio de Defensa","Defensa",2003,"01/01/2003","2",4474565360,0.0676191991405037,4368313655,0.0795790058235258,0.976254295903279
"Básico","Ministerio de Desarrollo Social","Desarrollo Social",2003,"01/01/2003","3",1694950007,0.0256139206460337,1585542133,0.0288843422429227,0.935450677867692
"Productivo","Ministerio de Economía","Economía",2003,"01/01/2003","4",877023814,0.0132534990906536,814412463,0.0148364195555525,0.928609292016328
"Básico","Ministerio de Educación","Educación",2003,"01/01/2003","5",2788159048,0.042134389987346,3087748570,0.0562505307173538,1.10745065716925
"Productivo","Ministerio de Industria","Industria",2003,"01/01/2003","6",551912837,0.00834045343642122,NA,NA,NA
"Interior","Ministerio de Justicia, Seguridad  y Derechos Humanos","Justicia, Seguridad  y Derechos Humanos",2003,"01/01/2003","7",2920455301,0.0441336381729059,3352239510,0.0610688491159052,1.14784825121348
"Interior","Ministerio del Interior","Interior",2003,"01/01/2003","8",263223531,0.00397780855326595,455422758,0.00829658609096562,1.73017494397186
"Productivo","Ministerio de Planificación Federal, Inversión Pública y Servicios","Planificación",2003,"01/01/2003","9",NA,NA,2376873991,0.0433002948300369,NA
"Exterior","Ministerio de Relaciones Exteriores y Culto","Cancillería",2003,"01/01/2003","10",702580922,0.0106173349710633,587661987,0.0107056315958928,0.836433168904065
"Básico","Ministerio de Salud","Salud",2003,"01/01/2003","11",1299232320,0.0196338732162041,1246191750,0.0227022847631301,0.959175453701767
"Básico","Ministerio de Trabajo, Empleo y Seguridad Social","Trabajo",2003,"01/01/2003","12",25279845621,0.38202658308864,23601802589,0.429961796247375,0.93362131014732
"Institucional","Ministerio Público","Ministerio Público",2003,"01/01/2003","13",151011640,0.00228207330458886,155377877,0.00283056986177658,1.02891324801188
"Financiero","Obligaciones a Cargo del Tesoro","Obligaciones a Cargo del Tesoro",2003,"01/01/2003","14",6817520809,0.10302571537994,3852137414,0.0701756535616094,0.565034933067558
"Institucional","Poder Judicial de la Nación","Poder Judicial",2003,"01/01/2003","15",731179133,0.0110495083709556,677988405,0.0123511376450778,0.927253492886537
"Institucional","Poder Legislativo Nacional","Poder Legislativo",2003,"01/01/2003","16",427264787,0.00645678415520516,453121533,0.00825466391867228,1.06051691313378
"Ejecutivo","Presidencia de la Nación","Presidencia",2003,"01/01/2003","17",2397218142,0.0362265288101918,584456520,0.0106472365498392,0.243806147534153
"Financiero","Servicio de la Deuda Pública","Deuda Publica",2003,"01/01/2003","18",14750770066,0.222912211202706,7560548813,0.137733003061745,0.51255282125418
"TOTAL","TOTAL","TOTAL",2003,"01/01/2003","19",66173001409,1,54892789999,1,0.829534535689569
"Ejecutivo","Jefatura de Gabinete de Ministros","Jefatura de Gabinete",2004,"01/01/2004","20",182382000,0.0030545332613115,225093362,0.00332342172843379,1.23418627934774
"Exterior","Ministerio de Defensa","Defensa",2004,"01/01/2004","21",4489403666,0.0751885209135266,4672319270,0.068985096877703,1.04074385321714
"Básico","Ministerio de Desarrollo Social","Desarrollo Social",2004,"01/01/2004","22",2567848828,0.0430063254879635,2673264921,0.039469785538639,1.04105229710197
"Productivo","Ministerio de Economía","Economía",2004,"01/01/2004","23",928410305,0.0155490133717519,1131665044,0.0167086233157714,1.21892770675353
"Básico","Ministerio de Educación","Educación",2004,"01/01/2004","24",3697727622,0.0619295325891223,4106922408,0.0606372175814709,1.11066114863773
"Interior","Ministerio de Justicia, Seguridad  y Derechos Humanos","Justicia, Seguridad  y Derechos Humanos",2004,"01/01/2004","25",3557543077,0.0595817221943228,473117073,0.00698540173077691,0.132989836738384
"Interior","Ministerio del Interior","Interior",2004,"01/01/2004","26",221593000,0.00371123898725642,3604418071,0.0532179235721789,16.265938323864
"Productivo","Ministerio de Planificación Federal, Inversión Pública y Servicios","Planificación",2004,"01/01/2004","27",3380532470,0.0566171490089951,5641177650,0.0832899389363825,1.66872458704708
"Exterior","Ministerio de Relaciones Exteriores y Culto","Cancillería",2004,"01/01/2004","28",630614323,0.0105615270402942,675034662,0.00996664158908762,1.07043978764815
"Básico","Ministerio de Salud","Salud",2004,"01/01/2004","29",1455752722,0.0243809427991455,1773321527,0.0261824482160037,1.21814749181008
"Básico","Ministerio de Trabajo, Empleo y Seguridad Social","Trabajo",2004,"01/01/2004","30",25295031498,0.423641121692728,27102185227,0.400153920449457,1.07144303137724
"Institucional","Ministerio Público","Ministerio Público",2004,"01/01/2004","31",162410000,0.00272004225729294,192213000,0.00283795512675955,1.18350471030109
"Financiero","Obligaciones a Cargo del Tesoro","Obligaciones a Cargo del Tesoro",2004,"01/01/2004","32",4578284818,0.0766771022158902,6774830003,0.100027904147681,1.4797746912477
"Institucional","Poder Judicial de la Nación","Poder Judicial",2004,"01/01/2004","33",726072905,0.0121602671231786,829589880,0.0122485932431929,1.14257104801342
"Institucional","Poder Legislativo Nacional","Poder Legislativo",2004,"01/01/2004","34",427755988,0.00716405617369677,465473338,0.00687254475996411,1.08817491994992
"Ejecutivo","Presidencia de la Nación","Presidencia",2004,"01/01/2004","35",601926452,0.0100810626514526,637433752,0.00941147781085554,1.05898943281529
"Financiero","Servicio de la Deuda Pública","Deuda Publica",2004,"01/01/2004","36",6805341530,0.113975842232071,6751341530,0.0996811053756414,0.992065056579166
"TOTAL","TOTAL","TOTAL",2004,"01/01/2004","37",59708631204,1,67729400718,1,1.13433182694469
"Ejecutivo","Jefatura de Gabinete de Ministros","Jefatura de Gabinete",2005,"01/01/2005","38",228074000,0.0029446399503566,262593937,0.00313882474022081,1.15135410875418
"Exterior","Ministerio de Defensa","Defensa",2005,"01/01/2005","39",5042600557,0.0651044970221622,5163893187,0.0617247902841462,1.02405358676122
"Básico","Ministerio de Desarrollo Social","Desarrollo Social",2005,"01/01/2005","40",3220645701,0.0415814253141911,3081449140,0.0368330240479396,0.956779921195063
"Productivo","Ministerio de Economía","Economía",2005,"01/01/2005","41",1266304703,0.0163491297463904,1403404876,0.0167751091120406,1.10826791740976
"Básico","Ministerio de Educación","Educación",2005,"01/01/2005","42",4773187473,0.0616261324111361,5344849166,0.0638877842598071,1.11976518756778
"Interior","Ministerio de Justicia, Seguridad  y Derechos Humanos","Justicia, Seguridad  y Derechos Humanos",2005,"01/01/2005","43",577343273,0.0074540196021705,627341249,0.00749870410344708,1.08660008410629
"Interior","Ministerio del Interior","Interior",2005,"01/01/2005","44",3905459627,0.0504229874609511,4237228405,0.05064822706695,1.08494999556681
"Productivo","Ministerio de Planificación Federal, Inversión Pública y Servicios","Planificación",2005,"01/01/2005","45",7183120244,0.0927405264900761,8169970073,0.0976568784678225,1.13738456206748
"Exterior","Ministerio de Relaciones Exteriores y Culto","Cancillería",2005,"01/01/2005","46",738234242,0.00953126635089672,791704880,0.00946336725321099,1.0724304495212
"Básico","Ministerio de Salud","Salud",2005,"01/01/2005","47",1711368266,0.0220952996213338,1833784898,0.0219195061083444,1.07153143740717
"Básico","Ministerio de Trabajo, Empleo y Seguridad Social","Trabajo",2005,"01/01/2005","48",29050197000,0.375064104860393,31654186518,0.378367242250009,1.08963758552136
"Institucional","Ministerio Público","Ministerio Público",2005,"01/01/2005","49",194086000,0.00250582437895118,252357831,0.00301647102892274,1.30023716805952
"Financiero","Obligaciones a Cargo del Tesoro","Obligaciones a Cargo del Tesoro",2005,"01/01/2005","50",7586719000,0.0979513485076311,7491378298,0.0895455691351917,0.987433210324516
"Institucional","Poder Judicial de la Nación","Poder Judicial",2005,"01/01/2005","51",884290933,0.0114169892624758,1095460933,0.0130942089437723,1.23880149860137
"Institucional","Poder Legislativo Nacional","Poder Legislativo",2005,"01/01/2005","52",476377040,0.00615045495504364,560161591,0.0066956955687528,1.17587865065873
"Ejecutivo","Presidencia de la Nación","Presidencia",2005,"01/01/2005","53",697500475,0.00900535687574078,777127487,0.00928912148684235,1.11416051293729
"Financiero","Servicio de la Deuda Pública","Deuda Publica",2005,"01/01/2005","54",9918443000,0.128055997190099,10913062684,0.13044547614258,1.10027982053232
"TOTAL","TOTAL","TOTAL",2005,"01/01/2005","55",77453951534,1,83659955153,1,1.08012507426785
"Ejecutivo","Jefatura de Gabinete de Ministros","Jefatura de Gabinete",2006,"01/01/2006","56",311833969,0.00332791829609415,374740651,0.00354425235557657,1.20173133222699
"Exterior","Ministerio de Defensa","Defensa",2006,"01/01/2006","57",5713924487,0.0609794818177351,6090473385,0.0576029704377138,1.06590022301777
"Básico","Ministerio de Desarrollo Social","Desarrollo Social",2006,"01/01/2006","58",3559303905,0.0379851900830241,4155129603,0.0392987199116508,1.16739950111116
"Productivo","Ministerio de Economía","Economía",2006,"01/01/2006","59",1727124130,0.0184320137100031,1739258676,0.0164497009943284,1.0070258679091
"Básico","Ministerio de Educación","Educación",2006,"01/01/2006","60",6054805761,0.0646173953913538,7088042607,0.0670378610893933,1.17064739758544
"Interior","Ministerio de Justicia, Seguridad  y Derechos Humanos","Justicia, Seguridad  y Derechos Humanos",2006,"01/01/2006","61",640139923,0.00683162699895597,810307084,0.00766378769835509,1.26582807115437
"Interior","Ministerio del Interior","Interior",2006,"01/01/2006","62",4441310147,0.0473980347433858,4902514829,0.0463674001861418,1.10384428619819
"Productivo","Ministerio de Planificación Federal, Inversión Pública y Servicios","Planificación",2006,"01/01/2006","63",10578858420,0.112898465169161,13806707016,0.130582187263728,1.3051225820262
"Exterior","Ministerio de Relaciones Exteriores y Culto","Cancillería",2006,"01/01/2006","64",842887084,0.00899536172207411,949265852,0.0089780431427478,1.12620761430484
"Básico","Ministerio de Salud","Salud",2006,"01/01/2006","65",2110819511,0.0225268430278338,2160343505,0.0204322710547108,1.02346197471736
"Básico","Ministerio de Trabajo, Empleo y Seguridad Social","Trabajo",2006,"01/01/2006","66",35058485345,0.374147098813902,37453887149,0.354234394905137,1.06832587832668
