"","categoria","juris_ok","juris_abrev","anio","type","value","share"
"8","Ejecutivo","Jefatura de Gabinete de Ministros","Jefatura de Gabinete",2003,"EJEC",132950031,0.00242199441861895
"218","Ejecutivo","Jefatura de Gabinete de Ministros","Jefatura de Gabinete",2003,"PROY",46088071,0.000696478473375271
"2","Exterior","Ministerio de Defensa","Defensa",2003,"EJEC",4368313655,0.0795790058235258
"211","Exterior","Ministerio de Defensa","Defensa",2003,"PROY",4474565360,0.0676191991405037
"3","Básico","Ministerio de Desarrollo Social","Desarrollo Social",2003,"EJEC",1585542133,0.0288843422429227
"212","Básico","Ministerio de Desarrollo Social","Desarrollo Social",2003,"PROY",1694950007,0.0256139206460337
"5","Productivo","Ministerio de Economía","Economía",2003,"EJEC",814412463,0.0148364195555525
"214","Productivo","Ministerio de Economía","Economía",2003,"PROY",877023814,0.0132534990906536
"6","Básico","Ministerio de Educación","Educación",2003,"EJEC",3087748570,0.0562505307173538
"215","Básico","Ministerio de Educación","Educación",2003,"PROY",2788159048,0.042134389987346
"9","Interior","Ministerio de Justicia, Seguridad  y Derechos Humanos","Justicia, Seguridad  y Derechos Humanos",2003,"EJEC",3352239510,0.0610688491159052
"219","Interior","Ministerio de Justicia, Seguridad  y Derechos Humanos","Justicia, Seguridad  y Derechos Humanos",2003,"PROY",2920455301,0.0441336381729059
"7","Interior","Ministerio del Interior","Interior",2003,"EJEC",455422758,0.00829658609096562
"217","Interior","Ministerio del Interior","Interior",2003,"PROY",263223531,0.00397780855326595
"12","Productivo","Ministerio de Planificación Federal, Inversión Pública y Servicios","Planificación",2003,"EJEC",2376873991,0.0433002948300369
"216","Productivo","Ministerio de Producción","Industria",2003,"PROY",551912837,0.00834045343642122
"1","Exterior","Ministerio de Relaciones Exteriores y Culto","Cancillería",2003,"EJEC",587661987,0.0107056315958928
"210","Exterior","Ministerio de Relaciones Exteriores y Culto","Cancillería",2003,"PROY",702580922,0.0106173349710633
"16","Básico","Ministerio de Salud","Salud",2003,"EJEC",1246191750,0.0227022847631301
"225","Básico","Ministerio de Salud","Salud",2003,"PROY",1299232320,0.0196338732162041
"18","Básico","Ministerio de Trabajo, Empleo y Seguridad Social","Trabajo",2003,"EJEC",23601802589,0.429961796247375
"227","Básico","Ministerio de Trabajo, Empleo y Seguridad Social","Trabajo",2003,"PROY",25279845621,0.38202658308864
"10","Institucional","Ministerio Público","Ministerio Público",2003,"EJEC",155377877,0.00283056986177658
"220","Institucional","Ministerio Público","Ministerio Público",2003,"PROY",151011640,0.00228207330458886
"11","Financiero","Obligaciones a Cargo del Tesoro","Obligaciones a Cargo del Tesoro",2003,"EJEC",3852137414,0.0701756535616094
"221","Financiero","Obligaciones a Cargo del Tesoro","Obligaciones a Cargo del Tesoro",2003,"PROY",6817520809,0.10302571537994
"13","Institucional","Poder Judicial de la Nación","Poder Judicial",2003,"EJEC",677988405,0.0123511376450778
"222","Institucional","Poder Judicial de la Nación","Poder Judicial",2003,"PROY",731179133,0.0110495083709556
"14","Institucional","Poder Legislativo Nacional","Poder Legislativo",2003,"EJEC",453121533,0.00825466391867228
"223","Institucional","Poder Legislativo Nacional","Poder Legislativo",2003,"PROY",427264787,0.00645678415520516
"15","Ejecutivo","Presidencia de la Nación","Presidencia",2003,"EJEC",584456520,0.0106472365498392
"224","Ejecutivo","Presidencia de la Nación","Presidencia",2003,"PROY",2397218142,0.0362265288101918
"4","Financiero","Servicio de la Deuda Pública","Deuda Publica",2003,"EJEC",7560548813,0.137733003061745
